Player,Pos,Squad,Age,Born,MP,Min,90s,CrdY,CrdR
Maxim De Cuyper,DF,be Belgium,25,2000,6,442,4.9,1,0
Luc De Fougerolles,DF,ca Canada,20,2005,5,372,4.1,2,0
Charles De Ketelaere,"FW,MF",be Belgium,25,2001,5,350,3.9,0,0
Nicolás De La Cruz,MF,uy Uruguay,29,1997,3,86,1.0,1,0
Rodrigo De Paul,MF,ar Argentina,32,1994,7,491,5.5,1,0
Amar Dedić,DF,ba Bosnia–Herz,23,2002,3,270,3.0,1,0
Louicius Deedson,MF,ht Haiti,25,2001,3,112,1.2,0,0
Hannes Delcroix,DF,ht Haiti,27,1999,3,270,3.0,0,0
Ousmane Dembélé,MF,fr France,29,1997,8,592,6.6,0,0
Merih Demiral,DF,tr Türkiye,28,1998,2,180,2.0,0,0
Ermedin Demirović,FW,ba Bosnia–Herz,28,1998,4,354,3.9,1,0
Sergiño Dest,MF,us USA,25,2000,5,297,3.3,0,0
Frans Dhia Putros,DF,iq Iraq,32,1993,1,90,1.0,0,0
Oumar Diakité,FW,ci Côte d'Ivoire,22,2003,2,28,0.3,0,0
Amad Diallo,"MF,FW",ci Côte d'Ivoire,23,2002,4,185,2.1,0,0
Assane Diao,MF,sn Senegal,20,2005,1,10,0.1,0,0
Habib Diarra,MF,sn Senegal,22,2004,3,143,1.6,0,0
Rúben Dias,DF,pt Portugal,29,1997,4,360,4.0,1,0
Krépin Diatta,DF,sn Senegal,27,1999,4,390,4.3,0,0
